id,subject,author,status,related issues,description
10091,Allow administrator to permanently disable modules,Declan Lynch,New,Is duplicate of #41143,"In our environment we do not have any need for the gantt charts or calendar modules.

While the administrator can specify which modules should be enabled by default on new projects, the project owner can elect to enable other modules also.

It would be nice to give the administrator the ability to enable/disable modules from ever being used in any project so if the administrator was to disable the calendar module or the time tracking module in the overall application settings the modules would not even show up as options for new projects or in the project settings. Projects that may already have the modules enabled would also no longer display the disabled modules."
13359,Add project identifier to List-Id header in notification emails for better Gmail filtering,Jimmy Engelbrecht,Closed,Is duplicate of #41031,"This gives the possibility to filer mail-updates from different project into different folders.

<pre>
--- ./redmine-2.1.6/app/models/mailer.rb        2013-01-09 17:34:07.000000000 +0100
+++ /opt/redmine-2.1.6/app/models/mailer.rb     2013-03-05 15:33:38.438398984 +0100
@@ -386,7 +386,7 @@
             'X-Auto-Response-Suppress' => 'OOF',
             'Auto-Submitted' => 'auto-generated',
             'From' => Setting.mail_from,
-            'List-Id' => ""<#{Setting.mail_from.to_s.gsub('@', '.')}>""
+            'List-Id' => ""<#{@issue.project.identifier}.#{Setting.host_name}>""

     # Removes the author from the recipients and cc
     # if he doesn't want to receive notifications about what he does
</pre>

The resulting List-Id could look like this:

<pre>
List-Id: <cantemo-ab.vvv.cantemo.com>
</pre>"
4362,Permissions on attachments,Nico Schuetze,New,"Is duplicate of #9358, Is duplicate of #24623, Is duplicate of #40307",We want to grant permissions per role to show and download attachments.
9812,set or change author of a issue (via rest api),Terence Mill,New,Is duplicate of #39504,"We would like to offer redmine integration via html submit form which can run on every web server having a connection to the redmine server and knowing some api key to do that (need additional right to set author?)

Projects want to integrate bug breportimng and feature request form in their web apps, using rest api to sumbit new issues. 
The users in all apps (redmine and other apps) use same ldap and so far the user data are the same. If using rest api don't know the api key of the user in which name the app wanna submit the issue, but the issue indeed shall show this user name a author. I tried to set author and update author after the issue was created via rest call. But the author always is and stays as the user which the api keys belongs. I think the cause is ""this line"":
/projects/redmine/repository/revisions/3310/entry/trunk/app/controllers/issues_controller.rb#L140

The only way to offer this 3rd party web form integration without loosing author information of submitter will need to enable to change the author by a third person. This will need a right to be in a role and then the rest api shall also provide to set the author name.
"
36005,Adopt 2FA emails to new Mailer interface,Felix Schäfer,Closed,Is duplicate of #39218,"The 2FA mechanism stills uses the superseded `Mailer.security_notification().deliver` interface, this patch changes the 2FA mechanism to the new interface."
9309,Add description field to custom queries,Anonymous,Closed,"Is duplicate of #28533, Is duplicate of #39047","Especially for public queries, it would be really useful to provide a simple description field where one could describe what the query displays and what it's used for."
12579,Ability to assign issues to multiple users,Bishoy Medhat,New,"Is duplicate of #408, Is duplicate of #15809, Is duplicate of #24286, Is duplicate of #39025","+*Dear All:*+

+Kindly I need to make *""Assignee""* Combo box allow *""Multi-Selection""* because of:+
 

* Sometimes , Groups don't help me while assigning a specific issue to more than one member.
This happened in case where the assignees are not gathered in a group. (This happened frequently)
(*Note that:* There is an Infinite combination of users!!)
So , I need the *""Assignee""* field to be a *List Box* which allow +*""Multi-Selection""*+."
8168,Allow to disable feature attachment,Maxim Nikolaevich,New,"Is duplicate of #24836, Is duplicate of #38682","Attachment max. size
should be as
Attachment max. size (zero for disabling feature)
"
13919,Mention user on issues and wiki pages using @user with autocomplete,Diego Antunes,Closed,"Is duplicate of #15828, Is duplicate of #16478, Is duplicate of #29471, Is duplicate of #38542","https://github.com/dwarburt/redmine-mention-plugin is ok, but I think would be awesome to have something like Github where it has an inline autocomplete for users etc. I think this should be built into the core plugins maybe?

for reference check this out https://github.com/tactivos/jquery-sew"
30998,Add an rake task to prune registered users after a certain number of days,David Demelier,Closed,Is duplicate of #38541,"Hello,

Unfortunately I'm not enough skilled in ruby to propose a patch.

Like many other people, I'm affected by spammers that half-register themselves but do not complete inscriptions due their fake emails. So I constantly have a pile of half-registered users that pollute my database.

It could be nice if there was an option to automatically delete accounts that were not successfully registered after a given amount of time (example, 1 day by default or something like that).

What do you think?"
