#,Subject,Author,Status,Related issues,Description
41143,Project Menu Module Access Configuration,Andres Eduardo Garcia Marquez,Closed,Is duplicate of #10091,"Dear Redmine Team,

I would like to propose an enhancement that would allow administrators to define which project menu modules are accessible to end users. Currently, modules such as ""Time Tracking,"" ""Gantt,"" and ""Calendar"" are enabled by default, which can overwhelm the user experience, especially in scenarios where end users only need access to request submission and tracking modules.

Implementing this feature would improve usability and streamline the workspace for users who require limited access, avoiding unnecessary distractions and simplifying their interaction with the platform.

Thank you for considering this request. I am available to discuss further details if needed.

Sincerely,"
41031,Include project identifier in List-Id header field of notification emails,Go MAEDA,Closed,Is duplicate of #13359,"I propose adding the project identifier to the @List-Id@ header field of notification emails. Currently, the @List-Id@ is based on the emission email address (@Setting.mail_from@). I want to change the List-Id to include both the project identifier and the emission email address.

The current notification email headers include the @X-Redmine-Project@ field, which contains the project identifier. However, widely used email services Gmail do not support filtering based on custom headers starting with @X-@. This makes it difficult to create filters based on the project.

By including the project identifier in the @List-Id@, users can utilize Gmail’s @list@ operator to create filters based on the project. This enhancement would improve the ability to organize and manage project-related emails in Gmail.


*Current Implementation:*
For an emission email address of @redmine@example.net@, the current List-Id is:

<pre>
List-Id: <redmine.example.net>
</pre>

*Proposed Implementation:*
For an emission email address of @redmine@example.net@ and a project identifier of @ecookbook@, the proposed List-Id is:

<pre>
List-Id: <ecookbook.redmine.example.net>
</pre>

*Backward Compatibility:*

Changing the @List-Id@ header field value will affect users who depend on the current format. To address this, we may need to add a new setting in Administration > Settings page allowing users to choose whether to include the project identifier in the List-Id. This ensures that existing workflows relying on the current List-Id format remain unaffected.
"
40307,Attachment file rename edit option disable,Gco IT,Closed,Is duplicate of #4362,How to disable the attached file edit option
39504,REST API need created_by field in the API,pivid IS,Closed,Is duplicate of #9812,"While creating an issue using REST API in similar to 'assigned_to_id' for an issue assigned to a user, need a 'created_by_id' while creating a issue "
39218,Send 2FA security notifications asynchronously,Mischa The Evil,Closed,"Related to #38388, Is duplicate of #36005","Given what Jean-Philippe Lang wrote in #38388#note-2:
> In Redmine 4.2, security notifications seem to be sent synchronously, unlike other notifications that are sent later. It triggers a timeout when sending the notification from redmine.org.

It might be better if Redmine would send security notifications asynchronously too."
39047,Add description field for issue queries,Liane Hampe,Closed,Is duplicate of #9309,"It would be nice to have an issue query description field since sometimes it is difficult to name the description so that other users are able to fully understand it.

The text filed in the new query form could be provided with wikitoolbar and the possibility to reference or include a wiki page or other macros.   

The description could be rendered right below the query name and should also be available on gantt and calendar page.

---

!clipboard-202309081141-e5hz5.png!
"
39025,two performers for one task.,Roman Pat,Closed,Is duplicate of #12579,"Colleagues, please tell me. Is it possible to assign two performers to one task at the same time."
38682,Disable option to upload files in tickets,Rene Goral,Closed,Is duplicate of #8168,"I've installed the DMSF plugin and want this as the only module to handle files. So I disabled the files and documents module for every project. 
!clipboard-202306081822-tbavg.png!
But people are still able to upload files using the standard file upload. 
!clipboard-202306081822-a048c.png!
That's a bit confusing for the users and pretty hard to handle for me as an admin. In some projects I want to disable the possibility to upload files for a reason.
From my point of view if the modules are disabled users shouldn't be able to upload files. At least administrators should have the option to disable the ""classic"" file upload via administration center and/or per project."
38542,Better username completion in the editor,Hendrik Jaeger,Closed,Is duplicate of #13919,"Hi

in #38511 someone tried to highlight me but since my name is ""Hendrik Jäger"" and only this part is actually displayed, they chose the obvious but wrong highlight (at)Hendrik, which is not me but ""Hendrik Adam"" (I’m (at)henk).

It would be nice to have better completion for this. The mechanism for completing ticket numbers with the popup would be well suited but it would have to search for both login-names and real-names.

Thanks for considering!"
38541,Automatic deletion of unactivated accounts,Hendrik Jaeger,Closed,Is duplicate of #30998,"Hi

in the context of #38511 I noticed that even after one week my unactivated account @henk_test was not deleted but still waited for me to click the confirmation link.

I see a similar issue with my own redmine instance where registrations require administrator approval: I have to delete a lot of accounts registered by bots.

It would be great to have redmine expire unconfirmed/unactivated accounts after a configurable amount of time."
38355,カスタムフィールドにbyte数制限追加  Request for limitation of byte number to custom field,Ayako Matsuzawa,Closed,Copied to #38357,"現在カスタムフィールドには文字数制限が可能ですが、byte数制限をかけたく、ご検討お願いいたします。目的としては、社内の生産システムとの連携になります。

Currently, custom fields have limitation only for number of characters.
We would like you to add limitation of byte number for operation of redmine with our production system.

Japanese has full-width characters(2bytes) and half-width characters(1byte).

Thank you for your cooperation in advance."
38343,"Change the default notification option to ""Only for things I watch or I am assigned to""",Go MAEDA,Closed,"Related to #38238, Is duplicate of #39500","Currently, the default notification option of a user is ""Only for things I watch or I'm involved in"". This means that a user will receive notifications about issues of which the user is an author, assignee, or watcher. I think it would be better to change the default value to ""Only for things I watch or I am assigned to"". With the option, the user will receive notifications about issues of which the user is an assignee or watcher.

* ""Only for things I watch or I'm involved in"" (internal name is @only_my_events@): issues of which the user is an *author*, assignee, or watcher
* ""Only for things I watch or I am assigned to"" (internal name is @only_assigned@): issues of which the user is an assignee, or watcher

In Redmine 5.1, we will have ""Auto watch issues on issue creation"" feature (#38238). Since the new feature is enabled by default for newly created users, new users in Redmine 5.1 automatically become a watcher of issues they create. Becoming an issue watcher automatically means that the user will always receive notifications for issues they create even if the user's notification option is set to ""only_assigned"". Whether the setting is ""only_my_events"" or ""only_assigned"", the type of notifications received will be the same.

Given that ""only_my_events"" and ""only_assigned"" behave the same when the user's settings are left at their defaults, I think it would be better to change the default setting for email notifications (@Setting.default_notification_option@) from ""only_my_events"" to ""only_assigned"" because of the following reasons:

* Users can stop notifications of issues they created by unwatching those issues. This fulfills feature requests such as #6914 and #27135
* The behavior is confusing if ""Auto watch issues on issue creation"" is enabled and the notification setting is ""only my events"". The user will assume that the reason they receive notifications about issues they created is that they watch the issues. And if they want to stop receiving notifications, they will unwatch the issue. However, unwatching will not stop notifications when the notification setting is ""only_my_events"".


"
38255,Filter free and paid plugins in the plugin directory,Vendel Czinder,Closed,Is duplicate of #17689,"Hi all,

there are numerous plugins in the plugin directory that are either demo or trial versions or otherwise limited, pushing the users to buy the full (paid) version of the plugins.
I have no grudge against them as these are also great and well supported software, but finding open-source and free plugins really gets cumbersome because of them.

My proposal: create tags and/or categories (or similar) for all the plugins and create filtering based on this information. (maybe like the compatible Redmine version dropdown)

Thank you for considering my proposal, please feel free to comment, and if I can help in any way, I'll try. (although I  have a very limited understanding of the technical workings of this system).
If I've opened my issue at the wrong spot, feel free to point me in the right direction. 

Thank you,
Vendel"
38173,"Increase limit of entries in json/xml and, preferably, make it configurable",Sergey Naumov,Closed,Related to #16069,"Currently there is a limit on how many entries could be returned by JSON/XML API in one batch - 100 entries. This limit is hardcoded in Redmine core. Such a low limit makes requests to Redmine to be affected by RTT + it could put more load on DB. 

The question is why this limit it not set to at least 500 (the default value for number of entries exported via CSV export API). Could this limit be made configurable just like for CSV?"
37717,"""Show completed versions"" by default",thuruk thuruk,Closed,Is duplicate of #13670,"It would be useful not only to be able to show completed versions by default, but to separate _closed_ versions from _completed_ versions.
In my case, we put out versions at irregular intervals so we can have a version that's completed, but won't come out for a few weeks. In the meantime, I have to click ""Show completed versions"" everytime I want to see it, and I get _all_ versions, including the closed ones."
37634,Export spent time report as PDF,ki be,Closed,Copied from #33325,"I guess this plugin doesnt work for redmine 5.x.
I tried but couldn't start redmine with this plugin.
"
