#,Subject,Author,Status,Related issues,Description
41203,RGPD Compliance,YoZ Art,Closed,Related to #28882,"I'm trying to figure out how to be RGPD compliant in Redmine.

When you delete a user, it will set everything own by this user as ""Anonymous"". Anonymyzing data is a way of being RGPD compliant but I can't delete all users obviously.

Instead of that, I would like to have a feature that will anonymize everything which is older than XXX months.

Do you see a way of doing it ? I dind't found any plugin, nor existing feature in Redmine. Is it something planned ? That you are discussing about ?

Otherwise, any idea how I can perform this (in SQL maybe - do you have a table/field list that I can use to perform this ?)"
41202,Change the default CSV export encoding to UTF-8,Go MAEDA,Closed,"","This patch changes the default encoding for CSV exports from @:general_csv_encoding@ to UTF-8.

UTF-8 is now the standard encoding format and is crucial for exporting data with multiple languages or Unicode emojis to prevent character corruption. Therefore, using UTF-8 is the best choice in most cases.

Currently, Redmine defaults to @:general_csv_encoding@ (ISO-8859-1 for English, CP932 for Japanese) for CSV exports, requiring users to manually select UTF-8 each time, which is inconvenient. Switching the default to UTF-8 will simplify this process.

The default was originally set to @:general_csv_encoding@ for compatibility with older versions of Excel, which didn’t support UTF-8. However, modern Excel versions can read UTF-8 encoded CSV files with a BOM. Since Redmine’s UTF-8 exports include a BOM (see #7037), changing the default to UTF-8 will not affect Excel compatibility.

!{width: 400px; border: 1px solid grey;}.clipboard-202408291800-amyv5.png!
"
41151,[view-customize plugin] I want to control the items displayed in the pull-down menu.,rito matsu,Closed,"","I want to use the redmine-view-customize plugin to display pull-down custom fields.
The following code works in my local environment, but did not work when written to Redmine.
If there is an error in the code or the use of the plugin, please let me know.
I am having trouble understanding how to check the logs.


*path-pattern*
>/issues/[0-9]+

*project-pattern*
>/sandbox

<pre><code class=""javascript"">
$(document).ready(function () {
	var parentField = 'issue_custom_field_values_1';
	var childField = 'issue_custom_field_values_2';
  
	var narrowChildField = function() {
	  	var optionList = [
			{parent: 36, children: [57, 59, 60, 20]},
			{parent: 42, children: [59, 61]},
			{parent: 43, children: [60]},
			{parent: 0, children: [57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 20]}
		];
	  
	  	var parentId = parseInt($('#' + parentField + ' > option:selected').data('select2-id'), 10);
	  	if (isNaN(parentId)) {
			console.error(""Invalid Children ID."");
			return;
	  	}
	  
	  	var selectedOption = optionList.find(o => o.parent === parentId);
		var childIds = selectedOption ? selectedOption.children : [];
  
	  	$('#' + childField + ' > option').each(function() {
			var childId = parseInt($(this).data('select2-id'), 10);
			if (isNaN(childId)) {
			  console.error(""Invalid child ID for option:"", $(this).text());
			  return;
			}
		
			if (childIds.includes(childId)) {
			  	$(this).show();
			} else {
		  		$(this).hide();
			}
	  	});
	};
  
	// 初期ロード時にフィルタリングを適用
	narrowChildField();
  
	$('#all_attributes').change(function(e) {
		if (e.target.id === parentField) {
			narrowChildField();
	  	}
	});
  
    if (typeof replaceIssueFormWith === 'function') {
		var _replaceIssueFormWith = replaceIssueFormWith;
		replaceIssueFormWith = function(html){
			_replaceIssueFormWith(html);
			narrowChildField();
	  	};
	}
});
  
</code></pre>


Thank you in advance for your help."
41053,"Add ""User's group"" and ""User's role"" filters to Spent time list",Go MAEDA,Closed,"","I suggest adding ""User's group"" and ""User's role"" filters to the Spent time list. Currently, there is a filter for ""User"", but it would be beneficial to filter by the user's group or role as well.

""User's group"" and ""User's role"" filters are already available in the issues list, and having the same functionality in the Spent time list would be useful. For example, these filters would make it easier to list the time entries of a specific department within an organization.

!{width: 952px; border: 1px solid grey;}.clipboard-202407241039-f2ps2.png!
"
40913,Add bulk lock/unlock feature to user list context menu,Mizuki ISHIKAWA,Closed,"","Currently, to lock multiple users, you need to select multiple users, click ""Delete"" in the context menu, and then click ""Lock"" at the bottom of the delete page. This process is not intuitive.
I propose adding a bulk lock option directly in the context menu on the user list.
!{width: 400px; border: 1px solid #ccc}bulk_lock.png!"
40901,Disable custom query links while loading to prevent multiple requests,Mizuki ISHIKAWA,Closed,"","In scenarios where custom queries involve complex conditions, accessing the destination via the query link might take some time. During this waiting period, users might click the link multiple times, causing unnecessary server load. To prevent this, we propose adding the :disable_with option to the link.
This feature will disable the link once it is clicked and preventing multiple submissions. This approach not only enhances the user experience by reducing confusion but also helps maintain optimal server performance.

For more information on the :disable_with option, you can refer to the official Rails documentation https://api.rubyonrails.org/v5.0/classes/ActionView/Helpers/UrlHelper.html#method-i-link_to

The following code can be used to add disable_with:
<pre><code class=""diff"">
diff --git a/app/helpers/queries_helper.rb b/app/helpers/queries_helper.rb
index 453149436..47f7db0f2 100644
--- a/app/helpers/queries_helper.rb
+++ b/app/helpers/queries_helper.rb
@@ -507,7 +507,8 @@ module QueriesHelper
                       link_to(query.name,
                               url_params.merge(:query_id => query),
                               :class => css,
-                              :title => query.description) +
+                              :title => query.description,
+                              :data => { :disable_with => query.name }) +
                         clear_link.html_safe)
         end.join(""\n"").html_safe,
         :class => 'queries'

</code></pre>
"
40864,Upgrade jQuery UI to 1.13.3,Go MAEDA,Closed,"",https://blog.jqueryui.com/2024/04/jquery-ui-1-13-3-released/
40853,Upgrade jQuery to 3.7.1,Holger Just,Closed,"",There are no security issues since the current version 3.6.1. It's just a bugfix / feature update.
40851,ask for patch of Gantt: right and left resizable panel for Redmine 3.3.3,Jimmy Gong,Closed,"","I tried to apply change_to_right_and_left_resizable_panel_v2.patch in #20481 to my Redmine 3.3.3, but seems the files content have been changed, and it can't be patch directly even though I modified the file path in patch file to be corresponding with the path of my redmine installed.
then, I tried modified my redmine files' code according to the modification content in this patch file, and restart redmine(subversion,mysql, apache), but left side of gannt is not resizable yet. seems this modification is not suitable for Redmine 3.3.3."
40829,Expose project updated_on column and filter in project query,Felix Schäfer,Closed,"","It is sometimes helpful to query recently changed projects, for example to look for changes in a project's custom field and update external applications accordingly.

This patch adds the `updated_on` attribute to the list of available columns and filters in issue queries. We understand that ""updated"" for a project might lead to confusion because it could also be understood as ""something in the project has changed"" and not just ""the project itself was changed"". The addition of the ""last activity"" in #23954 should help understand the difference between the 2 values though."
40706,"Enhance ""Last activity"" column to link to project activity page",Go MAEDA,Closed,Related to #23954,"This patch enhances the ""Last activity"" column in the projects list, which was implemented in #23954, to include a link to the project's activity page. This addition allows users to easily view the latest activities for a project with a single click.

*Values in the ""Last activity"" column are linked to the project's activity page:*
!{width: 802px; border: 1px solid grey;}.clipboard-202405171158-bsvjz.png!

*You can see the latest activities with a single click on the projects page:*
!{width: 106xpx; border: 1px solid grey;}.clipboard-202405171200-fnwk2.png!
"
40681,Dynamic generation of supported code highlighting languages in help section,Go MAEDA,Closed,"Related to #33859, Related to #36594","This patch changes the ""List of languages supported by Redmine code highlighter"" page in the help to be dynamically generated.

Currently, if the Rouge library adds new languages, someone has to manually update a list in the file @app/views/help/wiki_syntax/code_highlighting_languages.html.erb@. This method takes time and can lead to mistakes.

With this patch applied, the help page will automatically show any new languages that Rouge starts supporting. This means the list will always be up-to-date without needing manual changes.
"
40666,Issue Reminder Plugin problem,Mursal Gurbanli,Closed,"","Dear Redmine support team,

I use  Redmine 5.0.4.stable version. I installed ""Issue Reminder"" plugin on Redmine. When i click ""Remind assignee now"" i recieve e-mail notification. But when i click to ""Remind someone later""  and remind manually i don't receive email notification. You can see screenshoot on attachment. Please help me to resolve problem.

"
40635,How to get back issues that have been deleted. ,Gco IT,Closed,"",How to get back issues that have been deleted. 
40609,I am a Redmine user and Lover ,Mr Ahlawat,Closed,"","I want to do customisation in redmine.
I want that when i create issue in my custom redmine then In the ticket body i want to print all the members of that particlar project in which i am creating the ticket"
