#,Subject,Author,Status,Related issues,Description
41180,Tracker 'closed' -> Status 'closed' automatically,Michael Koch,New,"","Hi 

I use several Trackers that indicate that the issue is 'done/finished'.

Is there an option that the Status automatically switch to a 'closed' issue Status?

The reason is simple:
* I don't want to modify always to fields in the issue
* the Overview remains issues that are already solved

It would be great if somebody has an idea."
41044,Add hook call in my page,Akihiro Sada,New,"","While writing the plugin, I realized that there is no hook available in ""app/views/my/page.html.erb""."
41037,Export/Import one Project on Redmine,Louis Nguyen,New,"","My user accidentally deleted a project, and now he wants me to restore it. I have restored a VM running the most recent backup version, but the problem now is I don't know how to migrate the project to the VM redmine is using.
Please help me any way to migrate project form old server to current server. I'm using redmine 5.1.3"
40970,Emoji reactions on notes in Issues,Aidan Horn,New,"","Similar to how [GitHub features emoji reactions on issue comments](https://github.blog/2016-03-10-add-reactions-to-pull-requests-issues-and-comments/), could Redmine please develop emoji reactions on notes in issues in Redmine?
This would allow people to explicitly acknowledge that they've read a note, without having to leave another short note to reply."
40890,Show project changes on 'Activity' page,Boris Brodski,New,"","We would like to propose a new feature for Redmine: displaying project changes on the 'Activity' page. The idea is to enhance the visibility and traceability of modifications related to projects. Specifically, we propose that at least the following events be included on the 'Activity' page of each project:

* Project Creation: Log the creation of new projects.
* Changes to Project Fields: Track and display changes made to project fields such as the project name, description, etc.
* Changes to Project Custom Fields: Include modifications made to custom fields associated with the project.

Each of these events should be shown with the author, date, and a diff (similar to how changes to issues and other entities are currently displayed). This feature will significantly improve the transparency and management of project changes.

Implementation Participation:

If this feature request is approved, we are ready and willing to participate in its implementation. We seek guidance and support from core developers to ensure our contributions align with Redmine’s standards and best practices.

We believe this addition will be valuable for many users and look forward to collaborating with the Redmine development team to bring this enhancement to life.

Thank you for considering our request."
40784,Add feature to get raw Textile/Markdown text in notes and descriptions,Mizuki ISHIKAWA,New,"","There are instances where I need the raw, unprocessed text from journal comments and descriptions written in Textile or Markdown, rather than the HTML-converted information. This is particularly necessary when I want to write a new comment based on the information displayed in these formats. Additionally, there are times when I need to add information to tables written in Textile or Markdown. Without access to the raw text, I would have to recreate the table from scratch.

While it is possible to obtain the raw text from the input fields if I have editing permissions for the comments, such permissions are not always available. Another alternative is to use the quote feature, but this is not a complete solution as it adds quotation marks and can omit some of the original formatting.

I have attached an image that illustrates the requested feature.
!{width: 500px; border: 1px solid #ccc}screenshot%202024-06-03%2014.20.27.png!
"
40744,Refresh history tabs look and feel,Marius BĂLTEANU,New,Related to #39880,"The current UI of the history tab looks quite confusing because of the many borders. For some heading we started to add a background color (ex: Activity page) and I think we should also add to the history tab. Looking on some active themes, I saw some quite nice implementations:

1.Simple change to show gravatar inside the heading:
  
!{border: 1px solid grey; width: 80%}.history1.png!

2. From redmine_theme_farend_bleuclair theme maintained by Farend (@maeda).

!{border: 1px solid grey; width: 80%}history2.png!

What do you think?
"
40726,Disable jumping to journal's note after updating the issue,Dmitry Nekrasov,Needs feedback,"","Current functionality automatically scrolls the page to new note, after issue is updated. It is not handy if you are updating some issues's fields, sumbit it and want to continue working with issues further — you have to scroll page back to the top after each update.

Is it possible to turn jumping to new note's anchor link in Redmine 5.1.1?"
40711,Better error messages for LDAP authentication,Aleksandar Pavic,New,"","For example, 

if user does not have email attribute set

it just gives error ""Failed login for `user...` from IP 

regardless of debug/production environment.

Proper error would be to give more info from LDAP like
missing email or a bit more debug detais for other potential problems.
"
40699,Split custom fields admin page in varios sheets or pages,Yazan Televes,New,"","Dear developes, hope it can be possible to make a small plugin to help people who have many custom fields in their installation, dividing the custom fields administration page in many pages and showing only 100 or 200 fields per page. We are having the problem explained in this ticket:(https://www.redmine.org/boards/2/topics/69686) because we have a 2200 custom fields, and it would be very helpfull to have a plugin that allows to navigate between them in efficient way.
Thanks a lot.
"
